domain,problem,mode,status,wall_time_seconds,last_completed_phase,total_seconds,problem_reading_seconds,pnf_translation_seconds,symmetry_discovery_seconds,resource_detection_seconds,abstraction_seconds,abstract_pddl_writing_seconds,concrete_fd_seconds,abstract_fd_seconds,lama_fd_seconds,concrete_asp_seconds,abstract_asp_seconds,abstract_solving_seconds,guided_concrete_solving_seconds,extended_concrete_solving_seconds,verdict,plan_valid,relaxed_deletes,relaxed_inequalities,decrements,increments,abstract_plan_length,plan_length,abstract_solve_calls,concrete_solve_calls,abstracted_object_count,abstracted_object_type,error_message
freecell,probfreecell-10-1.pddl,concrete,timed out,1800.1858897842467,concrete_asp,,,,,,,,2.704378619790077,,,1.4039266370236874,,,,,,,,,,,,,,31,,,
freecell,probfreecell-10-1.pddl,lama,success,7.681430235505104,total,5.299586,,,,,,,,,5.291878,,,,,,,valid,,,,,,81,,,,,
freecell,probfreecell-10-2.pddl,abstract,timed out,1800.1907077254727,abstract_solving,,0.4505304880440235,0.004631230607628822,,69.44857159163803,0.08232415094971657,0.34987838938832283,2.8269075797870755,0.559500171802938,,1.4975166274234653,0.17260513547807932,28.27142407745123,,,,,18,0,10,6,10,,11,17,14,object,
freecell,probfreecell-10-2.pddl,concrete,timed out,1800.1627610512078,concrete_asp,,,,,,,,2.7010847479104996,,,1.3913299851119518,,,,,,,,,,,,,,28,,,
freecell,probfreecell-10-2.pddl,lama,success,6.679505616426468,total,3.656362,,,,,,,,,3.64795,,,,,,,valid,,,,,,65,,,,,
freecell,probfreecell-10-3.pddl,abstract,timed out,1800.1270584575832,abstract_asp,,0.41846822388470173,0.004480345174670219,,67.84758370742202,0.08343959413468838,0.3414223724976182,2.6474103527143598,0.5113462852314115,,1.4329087464138865,0.16525346599519253,,,,,,18,0,,,16,,17,,14,object,
freecell,probfreecell-10-3.pddl,concrete,timed out,1800.2230573780835,concrete_asp,,,,,,,,2.7778364531695843,,,1.387797024101019,,,,,,,,,,,,,,28,,,
freecell,probfreecell-10-3.pddl,lama,success,6.154410500079393,total,3.721681,,,,,,,,,3.713223,,,,,,,valid,,,,,,74,,,,,
freecell,probfreecell-10-4.pddl,abstract,timed out,1800.1840169653296,abstract_solving,,0.42973777279257774,0.004706431180238724,,68.57680920884013,0.08237801864743233,0.3395119644701481,2.7692916691303253,0.558804351836443,,1.495622456073761,0.16956304013729095,3.510009281337261,,,,,18,0,7,11,7,,8,19,14,object,
freecell,probfreecell-10-4.pddl,concrete,timed out,1800.1466231234372,concrete_asp,,,,,,,,2.7136328108608723,,,1.3860090486705303,,,,,,,,,,,,,,28,,,
freecell,probfreecell-10-4.pddl,lama,success,6.229196850210428,total,3.792559,,,,,,,,,3.784287,,,,,,,valid,,,,,,79,,,,,
freecell,probfreecell-10-5.pddl,abstract,timed out,1800.0814368240535,abstract_solving,,0.410965871065855,0.00455961748957634,,68.14044024422765,0.08185608312487602,0.3433575816452503,2.7435364313423634,0.5421187356114388,,1.4880486652255058,0.17285778746008873,20.754829447716475,,,,,18,0,9,7,9,,10,17,14,object,
freecell,probfreecell-10-5.pddl,concrete,timed out,1800.167022112757,concrete_asp,,,,,,,,2.7340102568268776,,,1.389113299548626,,,,,,,,,,,,,,29,,,
freecell,probfreecell-10-5.pddl,lama,success,7.006563495844603,total,4.180108,,,,,,,,,4.170537,,,,,,,valid,,,,,,92,,,,,
