domain,problem,mode,status,wall_time_seconds,last_completed_phase,total_seconds,problem_reading_seconds,pnf_translation_seconds,symmetry_discovery_seconds,abstraction_seconds,abstract_pddl_writing_seconds,concrete_fd_seconds,abstract_fd_seconds,concrete_asp_seconds,abstract_asp_seconds,abstract_solving_seconds,guided_concrete_solving_seconds,extended_concrete_solving_seconds,verdict,horizon,plan_length,relaxed_deletes,relaxed_inequalities,decrements,increments,abstract_horizon,final_horizon,abstract_solve_calls,concrete_solve_calls,abstracted_object_count,abstracted_object_type,error_message
bag-gripper,prob11.pddl,abstract,interrupted,744.4162066169083,abstract_pddl_writing,,5.533203028142452,0.012144390493631363,19.43198422715068,0.6885637752711773,39.25290621817112,,,,,,,,,,,3,0,,,,,,,3,room,
bag-gripper,prob11.pddl,concrete,interrupted,616.1202835738659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-gripper,prob12.pddl,abstract,timed out,1800.2898247763515,abstract_pddl_writing,,15.564655251801014,0.0249704048037529,36.248143538832664,1.8490069136023521,180.28057580441236,,,,,,,,,,,3,0,,,,,,,3,room,
bag-gripper,prob12.pddl,concrete,success,122.89817874319851,total,121.122779,,,,,,121.104779,,,,,,,unsolvable,,,,,,,,,,,,,
bag-gripper,prob13.pddl,abstract,interrupted,1292.2907519452274,abstract_pddl_writing,,7.5232266411185265,0.013894934207201004,26.166856952011585,1.0764602664858103,37.727034899406135,,,,,,,,,,,3,0,,,,,,,4,room,
bag-gripper,prob13.pddl,concrete,interrupted,719.8620856888592,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-gripper,prob14.pddl,abstract,out of memory,658.125322598964,abstract_pddl_writing,,6.5581069849431515,0.01473318412899971,22.167998038232327,0.9036684595048428,49.5738285407424,,,,,,,,,,,3,0,,,,,,,3,room,Fast Downward (abstract) failed with exit code 247:
bag-gripper,prob14.pddl,concrete,interrupted,611.0090972445905,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-gripper,prob16.pddl,abstract,timed out,1800.349148735404,abstract_pddl_writing,,19.7549160271883,0.028881222009658813,67.50180299952626,2.8934320360422134,273.79905616492033,,,,,,,,,,,3,0,,,,,,,5,room,
bag-gripper,prob16.pddl,concrete,interrupted,899.8051173835993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-gripper,prob17.pddl,abstract,interrupted,759.9441135786474,abstract_pddl_writing,,14.244094580411911,0.025259975343942642,51.30730165541172,1.9982598647475243,212.08330950140953,,,,,,,,,,,3,0,,,,,,,3,room,
bag-gripper,prob17.pddl,concrete,interrupted,787.8149692937732,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-gripper,prob18.pddl,abstract,interrupted,819.6450849175453,abstract_pddl_writing,,11.225880026817322,0.02057841792702675,41.256189696490765,1.4308604560792446,124.43203253671527,,,,,,,,,,,3,0,,,,,,,3,room,
bag-gripper,prob18.pddl,concrete,interrupted,660.5139750577509,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-gripper,prob19.pddl,abstract,timed out,1800.3963894024491,abstract_pddl_writing,,25.978514712303877,0.03652335703372955,64.53175768628716,3.064440041780472,399.71581794321537,,,,,,,,,,,3,0,,,,,,,3,room,
bag-gripper,prob19.pddl,concrete,success,183.46955652534962,total,181.864421,,,,,,181.84369,,,,,,,unsolvable,,,,,,,,,,,,,
bag-gripper,prob20.pddl,abstract,interrupted,1308.1598255857825,abstract_pddl_writing,,12.910746484994888,0.020740033127367496,44.68600268755108,1.7192545691505075,69.51188511401415,,,,,,,,,,,3,0,,,,,,,4,room,
bag-gripper,prob20.pddl,concrete,interrupted,757.2781434096396,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-gripper,prob21.pddl,abstract,interrupted,817.2987276278436,abstract_pddl_writing,,15.842623551376164,0.023584851063787937,55.96677587367594,1.8858811045065522,183.4664301732555,,,,,,,,,,,3,0,,,,,,,3,room,
bag-gripper,prob21.pddl,concrete,interrupted,670.9894513972104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-gripper,prob22.pddl,abstract,success,448.8979911971837,total,444.130564,5.17769,0.010415,54.827341,0.75768,36.290752,,347.007082,,,,,,unknown,,,3,0,,,,,,,5,room,
bag-gripper,prob22.pddl,concrete,out of memory,1048.9737784415483,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fast Downward (concrete) failed with exit code 247:
bag-gripper,prob23.pddl,abstract,interrupted,942.88088805601,abstract_pddl_writing,,1.3548289313912392,0.0050742290914058685,19.10724863782525,0.17814111709594727,2.5898820646107197,,,,,,,,,,,3,0,,,,,,,3,room,
bag-gripper,prob23.pddl,concrete,interrupted,664.3150368854403,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-gripper,prob24.pddl,abstract,interrupted,1102.83144890517,abstract_pddl_writing,,3.9846477955579758,0.009171456098556519,42.46779627725482,0.576565332710743,31.641072504222393,,,,,,,,,,,3,0,,,,,,,3,room,
bag-gripper,prob24.pddl,concrete,interrupted,935.6121489843354,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-gripper,prob25.pddl,abstract,interrupted,1773.1117178685963,abstract_pddl_writing,,1.3292145654559135,0.004712365567684174,58.3180094063282,0.1911771185696125,4.565963376313448,,,,,,,,,,,3,0,,,,,,,4,room,
bag-gripper,prob25.pddl,concrete,interrupted,911.4125706143677,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-transport,prob01.pddl,abstract,success,9.078213639557362,total,5.847624,0.241762,0.002603,0.21053,0.091793,0.027234,,5.231083,,,,,,unknown,,,5,0,,,,,,,2,vehicle,
bag-transport,prob01.pddl,concrete,success,3.6918796561658382,total,0.686896,,,,,,0.682167,,,,,,,unsolvable,,,,,,,,,,,,,
bag-transport,prob02.pddl,abstract,success,4.40561169013381,total,2.577952,0.322823,0.002685,0.219558,0.015121,0.028239,,1.949221,,,,,,unknown,,,5,0,,,,,,,2,vehicle,
bag-transport,prob02.pddl,concrete,success,2.292119774967432,total,0.52636,,,,,,0.520947,,,,,,,unsolvable,,,,,,,,,,,,,
bag-transport,prob03.pddl,abstract,success,2.597451850771904,total,0.756185,0.211338,0.002602,0.151724,0.029415,0.02392,,0.301552,,,,,,unknown,,,5,0,,,,,,,2,vehicle,
bag-transport,prob03.pddl,concrete,success,2.0708420537412167,total,0.302902,,,,,,0.298633,,,,,,,unsolvable,,,,,,,,,,,,,
bag-transport,prob04.pddl,abstract,success,34.22527397796512,total,32.368892,0.329348,0.002684,0.185746,0.019026,0.031544,,31.761034,,,,,,unknown,,,5,0,,,,,,,2,vehicle,
bag-transport,prob04.pddl,concrete,success,3.49651588127017,total,1.761615,,,,,,1.756175,,,,,,,unsolvable,,,,,,,,,,,,,
bag-transport,prob05.pddl,abstract,success,106.08631194382906,total,104.233027,0.328715,0.002647,0.221898,0.018139,0.035289,,103.589243,,,,,,unknown,,,5,0,,,,,,,2,vehicle,
bag-transport,prob05.pddl,concrete,success,14.805623311549425,total,13.030797,,,,,,13.026774,,,,,,,unsolvable,,,,,,,,,,,,,
bag-transport,prob06.pddl,abstract,interrupted,1079.9183275811374,abstract_pddl_writing,,0.3491116240620613,0.002823617309331894,0.22704902291297913,0.021118957549333572,0.03457939997315407,,,,,,,,,,,5,0,,,,,,,2,vehicle,
bag-transport,prob06.pddl,concrete,success,27.84432628005743,total,26.086556,,,,,,26.080263,,,,,,,unsolvable,,,,,,,,,,,,,
bag-transport,prob07.pddl,abstract,interrupted,986.3978054709733,abstract_pddl_writing,,0.37535199522972107,0.0029915310442447662,0.23521589487791061,0.024804871529340744,0.040541693568229675,,,,,,,,,,,5,0,,,,,,,2,vehicle,
bag-transport,prob07.pddl,concrete,success,815.0476404316723,total,812.219399,,,,,,812.211942,,,,,,,unsolvable,,,,,,,,,,,,,
bag-transport,prob08.pddl,abstract,interrupted,992.4169656820595,abstract_pddl_writing,,0.35202115774154663,0.0028762929141521454,0.27924969419837,0.024324018508195877,0.036970749497413635,,,,,,,,,,,5,0,,,,,,,3,vehicle,
bag-transport,prob08.pddl,concrete,interrupted,734.991024877876,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-transport,prob09.pddl,abstract,interrupted,862.5168579034507,abstract_pddl_writing,,0.3751824274659157,0.0028873905539512634,0.25922030210494995,0.025515049695968628,0.047997668385505676,,,,,,,,,,,5,0,,,,,,,2,vehicle,
bag-transport,prob09.pddl,concrete,interrupted,706.6171235479414,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-transport,prob10.pddl,abstract,interrupted,880.1183029673994,abstract_pddl_writing,,0.37121815606951714,0.003001973032951355,0.3255620114505291,0.02693428471684456,0.042128320783376694,,,,,,,,,,,5,0,,,,,,,3,vehicle,
bag-transport,prob10.pddl,concrete,interrupted,604.132713034749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-transport,prob11.pddl,abstract,interrupted,833.9518884066492,abstract_pddl_writing,,0.4244932159781456,0.003648403100669384,0.35107950400561094,0.028436138294637203,0.04826239217072725,,,,,,,,,,,5,0,,,,,,,2,vehicle,
bag-transport,prob11.pddl,concrete,interrupted,729.6165065206587,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-transport,prob12.pddl,abstract,interrupted,853.2976544201374,abstract_pddl_writing,,0.39285164698958397,0.002934001386165619,0.3940369486808777,0.030018944293260574,0.04473085701465607,,,,,,,,,,,5,0,,,,,,,3,vehicle,
bag-transport,prob12.pddl,concrete,interrupted,660.7163244513795,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-transport,prob13.pddl,abstract,out of memory,722.7545802332461,abstract_pddl_writing,,0.3665054924786091,0.002965230494737625,0.30004148185253143,0.02401011437177658,0.04407624527812004,,,,,,,,,,,5,0,,,,,,,2,vehicle,Fast Downward (abstract) failed with exit code 247:
bag-transport,prob13.pddl,concrete,interrupted,486.3997133523226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-transport,prob14.pddl,abstract,interrupted,574.0133305750787,abstract_pddl_writing,,0.3659994825720787,0.0027678795158863068,0.3025076761841774,0.031980689615011215,0.05152241513133049,,,,,,,,,,,5,0,,,,,,,3,vehicle,
bag-transport,prob14.pddl,concrete,interrupted,480.86524652689695,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-transport,prob15.pddl,abstract,interrupted,824.8262403905392,abstract_pddl_writing,,0.4894476793706417,0.003769461065530777,0.3634118214249611,0.038624901324510574,0.06805138662457466,,,,,,,,,,,5,0,,,,,,,2,vehicle,
bag-transport,prob15.pddl,concrete,interrupted,409.4956808872521,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-transport,prob16.pddl,abstract,out of memory,537.2644899785519,abstract_pddl_writing,,0.351102352142334,0.0027787499129772186,0.3149651810526848,0.032487768679857254,0.04622405394911766,,,,,,,,,,,5,0,,,,,,,3,vehicle,Fast Downward (abstract) failed with exit code 247:
bag-transport,prob16.pddl,concrete,interrupted,480.20948442816734,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-transport,prob17.pddl,abstract,interrupted,790.8176771774888,abstract_pddl_writing,,0.3771345391869545,0.002896636724472046,0.2617998793721199,0.025484733283519745,0.047655731439590454,,,,,,,,,,,5,0,,,,,,,2,vehicle,
bag-transport,prob17.pddl,concrete,success,136.15430531650782,total,134.370376,,,,,,134.360333,,,,,,,unsolvable,,,,,,,,,,,,,
bag-transport,prob18.pddl,abstract,interrupted,795.5976456962526,abstract_pddl_writing,,0.3816061168909073,0.0029288306832313538,0.25114166364073753,0.025201093405485153,0.048708170652389526,,,,,,,,,,,5,0,,,,,,,2,vehicle,
bag-transport,prob18.pddl,concrete,interrupted,787.228306863457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-transport,prob19.pddl,abstract,out of memory,567.7089416012168,abstract_pddl_writing,,0.459492739289999,0.003168094903230667,0.3599308878183365,0.03935407102108002,0.055051688104867935,,,,,,,,,,,5,0,,,,,,,3,vehicle,Fast Downward (abstract) failed with exit code 247:
bag-transport,prob19.pddl,concrete,interrupted,484.7475281879306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-transport,prob20.pddl,abstract,out of memory,320.037395237945,abstract_pddl_writing,,1.4325426882132888,0.005649334751069546,5.504831239581108,0.20901040825992823,0.4910681191831827,,,,,,,,,,,5,0,,,,,,,4,vehicle,Fast Downward (abstract) failed with exit code 247:
bag-transport,prob20.pddl,concrete,interrupted,255.7442003712058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-transport,prob21.pddl,abstract,interrupted,323.7963960841298,abstract_pddl_writing,,1.720768604427576,0.006918679922819138,7.013870321214199,0.2237420566380024,0.4032320976257324,,,,,,,,,,,5,0,,,,,,,4,vehicle,
bag-transport,prob21.pddl,concrete,interrupted,194.5322497151792,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-transport,prob22.pddl,abstract,interrupted,327.6147168390453,abstract_pddl_writing,,1.6694383658468723,0.005788709968328476,5.006828632205725,0.2095547504723072,0.33241261541843414,,,,,,,,,,,5,0,,,,,,,4,vehicle,
bag-transport,prob22.pddl,concrete,interrupted,230.69765430688858,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-transport,prob23.pddl,abstract,interrupted,359.1213965602219,abstract_pddl_writing,,4.179103925824165,0.009052496403455734,18.687927342951298,0.5217805914580822,1.3634047880768776,,,,,,,,,,,5,0,,,,,,,4,vehicle,
bag-transport,prob23.pddl,concrete,interrupted,452.61669896915555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-transport,prob24.pddl,abstract,interrupted,381.1362772323191,abstract_pddl_writing,,3.773346059024334,0.009344469755887985,27.48314256221056,0.4893864467740059,1.395347848534584,,,,,,,,,,,5,0,,,,,,,4,vehicle,
bag-transport,prob24.pddl,concrete,interrupted,422.6953165717423,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-transport,prob25.pddl,abstract,interrupted,357.7153759114444,abstract_pddl_writing,,4.069541655480862,0.009104080498218536,18.733141791075468,0.519361823797226,1.38086361810565,,,,,,,,,,,5,0,,,,,,,4,vehicle,
